# Constructed from biom file
#OTU ID	SRR5831794	SRR5831795	SRR5831796	SRR5831797	SRR5831798	SRR5831799	SRR5831801	SRR5831802	SRR5831803	SRR5831804	SRR5831805	SRR5831807	SRR5831809	SRR5831812	SRR5831813	SRR5831814	SRR5831815	SRR5831817	SRR5831818	SRR5831819	SRR5831821	SRR5831822	SRR5831824	SRR5831825	SRR5831827	SRR5831828	SRR5831829	SRR5831830	SRR5831832	SRR5831835	SRR5831836	SRR5831837	SRR5831839	SRR5831841	SRR5831842	SRR5831843	SRR5831846	SRR5831848	SRR5831849	SRR5831851	SRR5831852	SRR5831854	SRR5831855	SRR5831857	SRR5831858	SRR5831860	SRR5831863	SRR5831864	SRR5831865	SRR5831866	SRR5831867	SRR5831868	SRR5831869	SRR5831870	SRR5831872	SRR5831873	SRR5831874	SRR5831875	SRR5831877	SRR5831878	SRR5831879	SRR5831880	SRR5831882	SRR5831883	SRR5831884	SRR5831887	SRR5831888	SRR5831890	SRR5831891	SRR5831893	SRR5831894	SRR5831895
0bbfbeb55cc9cd84432ec9fb8241d286	186.0	122.0	18394.0	3838.0	196.0	1852.0	24196.0	2268.0	6931.0	11037.0	8933.0	142.0	5968.0	11289.0	531.0	7012.0	130.0	117.0	52.0	617.0	14223.0	867.0	374.0	10791.0	152.0	59.0	8177.0	304.0	709.0	329.0	2115.0	177.0	137.0	2881.0	87.0	577.0	284.0	879.0	223.0	69.0	610.0	314.0	5407.0	1244.0	546.0	912.0	85.0	321.0	1358.0	3812.0	0.0	0.0	0.0	3893.0	2089.0	33.0	446.0	6463.0	319.0	245.0	0.0	49698.0	454.0	2802.0	156.0	0.0	3224.0	701.0	2435.0	75.0	2514.0	91.0
98304a1063965d7cbd099cc6403fd55f	449.0	0.0	11802.0	254.0	215.0	324.0	53.0	0.0	0.0	1716.0	1638.0	83.0	76.0	758.0	2316.0	42862.0	81.0	97.0	197.0	359.0	7061.0	0.0	195.0	25584.0	0.0	50.0	0.0	149.0	219.0	150.0	0.0	826.0	6216.0	4800.0	0.0	759.0	76.0	1170.0	0.0	21.0	78.0	39.0	3462.0	1437.0	477.0	36.0	26.0	0.0	0.0	17437.0	1153.0	166.0	7731.0	7277.0	1033.0	150.0	1604.0	7752.0	154.0	215.0	39.0	3316.0	119.0	1255.0	132.0	4124.0	1261.0	130.0	504.0	4507.0	6426.0	7003.0
cea2ba08a7073f9313efb9b1f99cbdec	194.0	726.0	147.0	886.0	988.0	303.0	28.0	45.0	21472.0	236.0	0.0	2194.0	9365.0	950.0	13256.0	2954.0	0.0	451.0	729.0	339.0	362.0	459.0	224.0	827.0	0.0	0.0	0.0	117.0	627.0	2630.0	650.0	322.0	397.0	147.0	3182.0	1451.0	86.0	25437.0	0.0	2421.0	274.0	424.0	1466.0	0.0	320.0	550.0	0.0	17958.0	5561.0	31970.0	332.0	0.0	4972.0	0.0	367.0	62.0	570.0	926.0	7736.0	8371.0	424.0	91.0	4098.0	193.0	694.0	1337.0	1062.0	2665.0	0.0	367.0	155.0	119.0
4411380985a1acb5884e1dd18eb8ea75	0.0	0.0	0.0	721.0	293.0	0.0	41.0	0.0	105702.0	1457.0	1119.0	0.0	45598.0	994.0	0.0	445.0	30.0	87.0	0.0	46.0	2264.0	0.0	30.0	90.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	44.0	0.0	2241.0	0.0	0.0	0.0	0.0	247.0	0.0	404.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	3020.0	0.0	0.0	1372.0	43.0	8303.0	0.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0
3a8f4704b942500423ac5675b22493b5	316.0	823.0	124.0	657.0	786.0	187.0	0.0	0.0	13385.0	240.0	0.0	1470.0	8348.0	870.0	8824.0	1925.0	0.0	228.0	764.0	201.0	258.0	227.0	240.0	552.0	0.0	0.0	0.0	138.0	635.0	1641.0	776.0	363.0	347.0	0.0	2905.0	1207.0	0.0	26199.0	32.0	1748.0	216.0	303.0	961.0	75.0	233.0	465.0	0.0	14352.0	3728.0	20160.0	203.0	46.0	2991.0	0.0	354.0	0.0	317.0	590.0	4769.0	5097.0	466.0	97.0	4090.0	148.0	653.0	945.0	586.0	2744.0	52.0	388.0	88.0	85.0
56b9c55189ecc9b301760eb360a50dbc	440.0	1062.0	0.0	873.0	672.0	0.0	51.0	0.0	6049.0	739.0	176.0	10470.0	2677.0	1229.0	1847.0	1134.0	110.0	846.0	862.0	0.0	780.0	0.0	265.0	752.0	119.0	162.0	0.0	318.0	274.0	1084.0	665.0	931.0	10757.0	13240.0	1704.0	621.0	108.0	15478.0	89.0	299.0	355.0	94.0	249.0	4576.0	452.0	528.0	4030.0	9588.0	9521.0	841.0	525.0	134.0	488.0	80.0	101.0	182.0	101.0	4075.0	549.0	710.0	612.0	914.0	3317.0	366.0	571.0	4727.0	207.0	372.0	666.0	208.0	0.0	0.0
8507266e93deb224ae06ad5e65ce9f58	0.0	142.0	713.0	0.0	133.0	223.0	4874.0	651.0	39972.0	158.0	0.0	127.0	17573.0	0.0	390.0	602.0	0.0	0.0	0.0	4325.0	174.0	76.0	0.0	128.0	70.0	0.0	3088.0	35.0	31.0	121.0	107.0	0.0	2244.0	125.0	59.0	256.0	1297.0	481.0	561.0	291.0	817.0	85.0	25121.0	44.0	338.0	0.0	85.0	130.0	0.0	418.0	605.0	65.0	110.0	233.0	139.0	16.0	1245.0	559.0	0.0	1846.0	0.0	8578.0	105.0	732.0	69.0	0.0	347.0	0.0	0.0	0.0	215.0	353.0
9c97d6c56adf8ffe6600db55e713f049	43.0	0.0	0.0	558.0	220.0	0.0	0.0	0.0	60152.0	1263.0	629.0	0.0	36665.0	925.0	0.0	242.0	0.0	0.0	0.0	45.0	1228.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	30.0	0.0	1445.0	39.0	38.0	0.0	102.0	127.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	1984.0	0.0	67.0	1088.0	0.0	6929.0	0.0	63.0	0.0	171.0	0.0	0.0	0.0	0.0
c9abf2021effece8e13bbf09c5cdb396	32.0	481.0	0.0	0.0	61.0	0.0	0.0	0.0	22161.0	0.0	0.0	0.0	18942.0	7555.0	623.0	23210.0	0.0	1274.0	75.0	106.0	233.0	0.0	56.0	734.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	281.0	872.0	216.0	0.0	0.0	0.0	217.0	0.0	0.0	165.0	2085.0	0.0	8342.0	1160.0	8779.0	0.0	213.0	0.0	1979.0	1203.0	469.0	0.0	290.0	2180.0	0.0	714.0	0.0	0.0	311.0	40.0	6763.0	0.0	0.0	0.0
b7345e89bee50cb3d00e7e41e9a82a4e	524.0	118.0	5833.0	128.0	141.0	248.0	0.0	63.0	0.0	1656.0	649.0	0.0	0.0	549.0	1289.0	28091.0	69.0	0.0	119.0	108.0	3639.0	30.0	178.0	11818.0	0.0	0.0	0.0	0.0	137.0	54.0	0.0	819.0	4917.0	2375.0	18.0	556.0	0.0	1028.0	0.0	13.0	91.0	0.0	1870.0	1273.0	353.0	0.0	0.0	0.0	15.0	10568.0	659.0	142.0	4072.0	3542.0	752.0	142.0	618.0	3911.0	74.0	113.0	40.0	2263.0	0.0	845.0	85.0	2178.0	475.0	122.0	366.0	4638.0	3295.0	3412.0
